English,Hebrew
fiscal,"כספי, פיסקאלי"
fit,"להתאים; התקף; ראוי, מתאים"
fix,לתקן; לקבע
flake,"רסיס, פתית (מכאן השם קורנפלקס = פתיתי תירס)"
flamboyant,"ססגוני, ראוותני, מצועצע, צעקני"
flame,להבה
flammable,דליק
flash,להבזיק; הבזק
flatter,"להחניף, להחמיא"
flattery,דברי חנופה
flavor,טעם
flaw,פגם
flawed,"פגום, לקוי"
flawless,"ללא פגם, מושלם"
flee,"לברוח, לנוס"
fleet,צי
fleeting,"חולף, קצר, חטוף"
flexible,גמיש
flight,טיסה; גרם מדרגות; בריחה
flimsy,"שביר, חלש, דק"
fling,להשליך בכוח
flip,"לזרוק, להטיל הערה: המילה flip בדרך כלל משמשת לזריקה"
flood,"להציף; שיטפון, מבול"
flourish,"לפרוח, לשגשג"
flow,לזרום; זרימה; זרם
fluctuate,"להתנדנד, לעלות ולרדת חליפות"
fluent,"רהוט, שוטף"
fluid,"נוזל; נזיל, משתנה, פלואידי"
flustered,מבולבל ועצבני
focus,"לרכז; להתמקד; מוקד, פוקוס"
follow,"לבוא אחרי; לעקוב; לציית, לנהוג לפי"
follower,"אוהד, חסיד"
following,"הבא, שלאחר מכן"
fond,מחבב
foolish,טיפשי
for the sake of,"למען, לשם, לטובת"
forbid,לאסור על
forbidden,אסור
force,"כוח; להכריח, לכפות"
forceful,"חזק; משכנע, תקיף"
forecast,לחזות מראש; תחזית
foreign,"זר, חוץ"
foreigner,"זר, נוכרי"
foremost,"ראשון במעלה, החשוב ביותר"
foresee,לחזות מראש
foresight,"ראיית הנולד, צפייה מראש"
foretell,לנבא
forever,"תמיד, לנצח"
forewarn,להזהיר מראש
forfeit,"להפסיד, לאבד"
forge,"לחשל; ליצור, לעצב; לזייף"
forget,לשכוח
forgive,לסלוח
form,"לעצב, ליצור; להרכיב, להקים; צורה, דמות; טופס"
formal,"רשמי, פורמלי"
formality,"רשמיות, טקסיות"
formation,"מבנה; הקמה, התהוות"
former,"קודם, מוקדם יותר"
formidable,"מפחיד, מטיל אימה; אדיר, עצום"
formulate,"לנסח; לפתח, לתכנן"
forsake,"לנטוש, לזנוח"
fort,מבצר
forthcoming,"ממשמש ובא, הולך וקרב"
fortify,לבצר; לחזק
fortitude,גבורה
fortress,"מבצר, מצודה"
fortunate,בר מזל
fortune,"מזל, גורל; הון, עושר"
fossil,מאובן
foster,"לעודד, לטפח; לגדל במשפחה אומנת"
foul,"מבחיל, מסריח, מזוהם"
found,"לייסד, להקים (גם צורת העבר של find)"
foundation,"ייסוּד, הקמה; יסבֿד, בסיס; קרן, מוסד"
fraction,שבר; חלק קטן
fracture,לשבור; שֶבר
fragile,"שביר, שברירי"
fragment,"שבריר, רסיס, קטע"
fragmented,"מקוטע, מרוסק"
fragrance,ניחוח
fragrant,ריחני
frame,מסגרת; שלד; למסגר
framework,מסגרת; שלד
frank,גלוי לב
frantic,יוצא מדעתו מרוב (דאגה וכו)
fraud,"הונאה, תרמית; נבֿכל"
fraudulent,"מזויף, שנועד להונות"
free,לשחרר; חופשי; חינם
freedom,חירות
freeze,לקפוא; להקפיא
frenzy,"טירוף, השתוללות"
frequency,"תדירות, תכיפות; תדר"
frequent,"תדיר, תכוף"
fresh,"טרי, רענן"
friction,חיכוך
friend,"חבר, ידיד"
friendly,ידידותי
fright,פחד
frighten,"להפחיד, להבהיל"
frightful,"מפחיד, מבהיל; נורא"
frigid,"צונן, קר"
frivolous,"קל דעת; לא רציני, שטותי"
front,"חזית, חלק קדמי; חזיתי, קדמי"
frontier,"גבול, ספר"
frost,כפור
fruitful,"פורה, נושא פרי, מניב תוצאות"
fruitless,"עקר, שלא מניב פרי"
frustrate,לתסכל; לסכל
fugitive,נמלט; פליט; עריק
fulfill,"להגשים, למלא, לקיים"
fulfillment,"סיפוק; הגשמה; התגשמות; ביצוע, מילוי"
fume,"אדים, עשן"
fumes,"אדים, עשן"
function,"תפקיד; פעולה; לתפקד, לפעול"
fund,לממן; קרן
fundamental,"בסיסי, יסודי"
funeral,הלוויה
furious,"זועם; סוער, פראי"
furnish,"לרהט; לספק, לצייד"
furniture,ריהוט
further,"לקדם; נוסף, עוד; רחוק יותר; הלאה"
fury,זעם; התפרצות זעם
fuse,"להתיך; להינתך; נתיך, פיוז"
fusion,"מיזוג; התכה, היתוך"
fuss,"לעשות ענין מ-; להתרוצץ סביב; ""רעש"", המולה, התרגשות, טרחה"
futile,"עקר, חסר תועלת"
future,עתיד; עתידי
gain,"להרוויח; רווח; הישג; תוספת, עלייה, שיפור"
gallant,"אבירי, אדיב; אמיץ, נועז"
gallop,לדהור
gamble,הימור; להמר
gap,"פער, רווח; פירצה"
gape,"לבהות, להביט בפה פעור"
garbage,"זבל, אשפה"
garment,"בגד, מלבוש"
gather,"לאסוף, לכנס; להתאסף"
gathering,"אסיפה, כינוס"
gauge,למדוד; מד
gaunt,"כחוש, צנום"
gaze,להביט ארוכות; מבט ארוך
gear,ציוד
gender,מין (זכר/נקבה)
general,כללי
generalize,להכליל
generally,"בדרך-כלל, על פי רוב; באופן כללי"
generate,"ליצור, לייצר"
generation,"דור; יצירה, ייצוּר"
generosity,נדיבות
generous,נדיב
gentle,"עדין, רך"
gentleman,ג נטלמן
genuine,"אמיתי, מקורי"
germ,חיידק
gesture,"תנועה, מחווה, ג סטה"
get rid of,להיפטר מ-
gigantic,ענקי
giggle,לצחקק
glamour,"זַוהר, קסם, חן"
glance,"להעיף מבט, להציץ; מבט חטוף, הצצה"
glare,אור מסנוור; מבט זועם; להביט בזעם
gleam,"להבהיק, לנצנץ"
glide,"לגלוש, לדאות"
glimmer,"נצנוץ, הבהוב"
glimpse,"להציץ, לראות להרף עין; מבט חטוף"
glisten,"להבהיק, לנצוץ"
glitter,לנצוץ
global,גלובלי; כלל-עולמי
globe,"גלובוס, כדור הארץ"
gloom,אפלולית; קדרות; דיכאון
glorify,"להלל, לפאר"
glorious,"מהולל, מרהיב, נהדר"
glory,תהילה
glow,"לזהור, ללהוט; זַוהר, להט"
glowing,"זוהר, לוהט"
goal,"מטרה; שער, גול (בכדורגל)"
goods,"סחורה, מוצרים"
gorgeous,"יפהפה, ססגוני, נפלא"
gossip,לרכל; רכילות
govern,למשול
government,ממשלה
governor,מושל
grab,"לתפוס בכוח, לחטוף, לקחת בכוח"
grace,חן
graceful,חינני
gracious,"נחמד, אדיב"
grade,לדרג; דרגה; ציון; כיתה
gradual,הדרגתי
graduate,"לסיים לימודים, לקבל תואר"
grain,"גרעין, גרגיר; תבואה"
grand,"גדול, מרשים, מפואר"
grandeur,"גדוּלה, הוד והדר, פאר"
grant,"לתת, להעניק; מענק"
grasp,"לתפוס, לאחוז; לתפוס, להבין; אחיזה; הבנה"
grateful,אסיר תודה
gratify,להשביע רצון; לגרום סיפוק
gratitude,הכרת תודה
grave,"חמוּר, רציני; קבר"
gravity,"כוח המשיכה; חומרה, רצינות"
graze,לרעות
grease,"גריז, שמן מכונות; לשמן, לגרז"
greasy,"שמנוני, חלקלק"
greed,"תאוות בצע, חמדנות"
greedy,חמדן
greet,"לקדם את פניו של מישהו, לברך לשלום"
grief,"יגון, צער עמוק"
grieve,להתאבל
grim,"חמוּר, קודר, קשה"
grin,"גיחוך, חיוך מעושה; לגחך"
grip,"לאחוז בכוח, לתפוס; אחיזה, תפיסה"
groan,"לגנוח, להיאנח; גניחה, אנחה"
groceries,מצרכי מכולת
grocery,מכולת
grotesque,"גרוטסקי, נלעג, מוזר ומגוחך"
grow,"לצמוח, לגדול; להצמיח, לגדל"
growl,לנהום
growth,"צמיחה, גידול, התפתחות"
grudge,טינה
guarantee,"להבטיח; ערבות, עירבון, תעודת אחריות"
guess,לנחש; ניחוש
guidance,"הכוונה, הדרכה"
guide,"להדריך, להנחות; מדריך, מנחה"
guilt,אשמה
guilty,אשם
habit,"הרגל, מנהג"
habitual,"רגיל, קבוע"
hail,ברד
halt,"לעצור, להפסיק; עצירה, הפסקה"
hamper,"להפריע, לעכב, להכביד"
hand,"להעביר, לתת, למסור"
handful,חופן; קומץ
handicap,מגבלה
handle,"לטפל ב-, להתייחס אל; ידית; להחזיק (בידיים)"
haphazard,"מקרי, אקראי"
harass,"להטריד, להציק"
harbor,נמל; מקום מחסה/מקלט
hardly,בקושי; כמעט שלא
hardship,"קושי, מצוקה, סבל"
harm,להזיק; נזק
harmful,מזיק
harmless,שאינו מזיק
harmonize,ליצור הרמוניה
harmony,"הרמוניה, התאמה"
harsh,"מחמיר, קשה, אכזרי"
harvest,"לקצור, לאסוף; קציר, אסיף"
hassle,"להטריד, להציק ל-; טרדה, ""כאב ראש"""
haste,חיפזון
hasty,"פזיז, נמהר"
hate,לשנוא; שנאה
hatred,שנאה
haughty,יהיר
haul,"לגרור, למשוך בכוח"
hazard,סכנה
hazardous,מסוכן
haze,"אובך, ערפל"
hazy,אביך; מעורפל
head,ראש; ראשי; להוביל
heading,כותרת
headline,כותרת
headmaster,מנהל (בית ספר)
headquarters,"מפקדה, מטה"
heal,להבריא; לרפא
health,בריאות
healthy,בריא
heap,ערימה
heaven,גן עדן
heavy,כבד
hectic,"קדחתני, גדוש פעילות"
height,גובה
heir,יורש
heiress,יורשת
help,לעזור; עזרה
helpful,"מועיל, עוזר"
helpless,חסר אונים
herald,לבשר
herd,"לאסוף, לקבץ; עדר"
heredity,תורשה
heritage,"מורשת, ירושה"
hero,גיבור
heroic,"הרואי, נועז"
heroine,גיבורה (להבדיל מהרואין = heroin)
heroism,"גבורה, הרואיזם"
hesitant,"הססן, מהסס"
hesitate,להסס
hide,להחביא; להתחבא
hierarchy,"היררכיה, מידרג"
high,גבוה
hilarious,מצחיק מאוד
hinder,"לעכב, להפריע"
hint,לרמוז; רמז
hire,לשכור; להעסיק
hitherto,עד כה
holiday,"חג, פגרה, חופשה"
hollow,"חלול, נבוב"
holy,קדוש
honest,"הוגן, ישר"
honesty,"הגינות, יושר"
honor,לכבד; כבוד
honorable,מכובד
hope,לקוות; תקווה
hopeful,"מבטיח, מעודד; מלא תקווה"
horizon,אופק
horrendous,"נורא, איום, זוועתי, מזעזע"
horrid,"איום, נורא, גועלי"
horrify,"להחריד, לזעזע"
horror,"אימה, זוועה"
hospitable,"מסביר פנים, מכניס אורחים"
hospital,בית-חולים
hospitality,הכנסת אורחים
hospitalize,לאשפז
host,מארח
hostage,בן-ערובה
hostile,עוין
hostility,עוינות
howl,ליילל; לצווח
huge,ענקי
human,בן אנוש; אנושי
humane,"אנושי, הומני"
humanity,אנושות; אנושיות
humble,"עניו, צנוע; דל, עלוב"
humid,לח
humiliate,להשפיל
hurdle,משוכה; מכשול
hurry,"למהר, להזדרז"
hurt,"להכאיב, לפגוע; פגיעה"
hush,להשתיק
hybrid,בן-כלאיים
hypocrisy,צביעות
hypocrite,צבוּע
hypothesis,"היפותזה, השערה"
ice,קרח
icicle,נטיף קרח
idea,רעיון
ideal,"אידיאלי, מושלם"
identical,זהה
identify,לזהות; להזדהות עם
identity,זהות
idle,"מובטל; מושבת; עצלן; להתעצל, להתבטל"
idol,אליל
idolize,"להעריץ הערצה עיוורת, לסגוד"
ignite,להצית
ignorance,בוּרוּת
ignorant,בוּר
ignore,להתעלם
ill,חולה
illegal,לא חוקי
illness,מחלה
illuminate,להאיר; להבהיר
illusion,אשליה
illusive,"מתעתע, משלה, כוזב"
illustrate,"להדגים, להמחיש; לאייר"
illustration,"הדגמה, המחשה; איור"
image,דמות; תדמית; בבואה; תמונה
imaginary,דמיוני; מדומה
imagination,דמיון
imagine,לדמיין; לדמות
imitate,לחקות
imitation,חיקוי; חקיינות
immaculate,"נקי ללא רבב, מושלם"
immaterial,חסר חשיבות
immediate,מיידי
immense,"כביר, עצום, ענקי"
immigrant,"מהגר, עולה"
immigrate,להגר אל
imminent,"ממשמש ובא, עומד להתרחש"
immortal,"בן-אלמוות, נצחי"
immune,"חסין, מחוסן"
immunity,חסינות
impact,"התנגשות, מכה; השפעה"
impair,"לפגום, להחליש, להזיק ל-"
impaired,"פגום, מוחלש, לקוי"
impartial,"הוגן, לא משוחד"
impeccable,"ללא דופי, מושלם"
impede,"להפריע ל-, לעכב"
impending,עומד להתרחש
imperative,"דחוף, הכרחי, חיוני"
implement,ליישם
implicate,"לערב ב-, לסבך"
implication,"הסתבכות, מעורבות; השלכה, משמעות"
implicit,"מרומז, משתמע"
implore,"להתחנן, להפציר"
imply,לרמוז
import,לייבא; יבוא
importance,"חשיבות, ערך"
important,חשוב
impose,"לכפות, לאכוף, להטיל"
impoverish,לרושש
impoverished,"מרושש, עני"
impractical,לא מעשי
impregnate,"למלא, להספיג; להרוות ב-"
impress,להרשים; להדגיש בפני
impression,רושם; התרשמות
impressive,מרשים
imprison,"לאסור, לכלוא"
improve,לשפר; להשתפר
improvement,שיפור
impulse,"דחף, צורך פתאומי"
impulsive,"אימפולסיבי, פזיז, נמהר"
in fact,"למעשה, לאמיתו של דבר"
in vain,"לשווא, לחינם"
inanimate,"דומם, חסר חיים"
inapplicable,"לא ישים, שאינו חל על-"
inappropriate,"לא מתאים, לא הולם"
incentive,תמריץ
incessant,בלתי פוסק
incidence,שכיחות
incident,"תקרית, מקרה"
incidental,מקרי
incite,להסית; לעורר
inclination,נטייה ל-; שיפוע
incline,"להטות, להרכין; לנטות; שיפוע; לנטות ל-"
inclined,נוטה ל-; משופע
include,לכלול
including,"לרבות-, כולל-"
inclusion,הכללה
inclusive,כולל
income,הכנסה
incompetent,"חסר יכולת, לא מוכשר"
inconceivable,לא מתקבל על הדעת
incorporate,"לשלב, לאחד"
increase,"להגדיל, להגביר"
increase,"גידול, תוספת"
incredible,לא ייאמן
increment,"תוספת, גידול"
incremental,"של גידול, של תוספת"
indeed,"אכן, באמת"
independence,עצמאות
independent,עצמאי
indicate,"להצביע על, להראות; לציין ש-, להעיד על כך ש-"
indication,"סימן, אינדיקציה"
indifference,אדישות
indifferent,אדיש
indignant,"ממורמר, זועם"
indispensable,"הכרחי, חיוני, שאי אפשר לוותר עליו"
individual,"אינדיבידואל, פרט, יחיד, אדם; אינדיבידואלי, פרטי, אישי"
induce,לגרום ל-
indulge,לפנק; להתענג על
industrial,תעשייתי
industrialize,לתעש
industrious,"חרוץ, שקדן"
industry,תעשיה
inevitable,בלתי נמנע
infamous,ידוע לשמצה
infancy,ינקות
infant,תינוק
infatuation,התאהבות (עד לשגעון)
infect,"לזהם, להדביק"
infection,"זיהום, אינפקציה, דלקת"
infectious,מזהם; מידבּק
infer,להסיק
inferior,נחוּת
infidelity,"אי-נאמנות, בגידה, ניאוף"
inflame,"להסית, לשלהב"
inflate,לנפח; להתנפח
inflation,ניפוח; התנפחות; אינפלציה
inflict,"להטיל על, לכפות על; לגרום (סבל וכד)"
influence,להשפיע; השפעה
influential,בעל השפעה רבה
inform,ליידע
information,מידע
ingredient,"מרכיב, רכיב"
inhabit,לגור ב-; לחיות ב-; לאכלס
inhabitant,תושב
inhale,לשאוף (אוויר וכו )
inherent,"טבוע ב-, פנימי, טבעי, אינהרנטי"
inherit,לרשת
inhibit,לעצור בעד-; לרסן
initial,"התחלתי, ראשוני"
initially,בתחילה
initials,ראשי תיבות
initiate,"להתחיל, ליזום"
initiative,יוזמה
inject,להזריק
injection,זריקה
injure,"לפצוע, לפגוע"
injury,"פציעה, פגיעה"
inland,בפנים הארץ
inner,פנימי
innocence,תמימות; חפות מפשע
innocent,תמים; חף מפשע
innovation,חידוש
innovative,חדשני
innumerable,"עצום, שלא ניתן לספור אותו"
inquire,"לחקור, לשאול, לברר"
inquiry,"חקירה; בירור, שאלה"
insane,"משוגע, מטורף"
insatiable,"שאינו יודע שובע, שלא ניתן לספק אותו"
inscribe,לרשום
insect,חרק
insert,"להכניס, להחדיר"
insight,תובנה
insist,"להתעקש, לעמוד על כך ש-"
insistence,התעקשות
insistent,מתעקש
inspect,"לבדוק, לבחון; לפקח על"
inspection,בדיקה; פיקוח
inspector,מפקח
inspiration,השראה
inspire,לעורר השראה
install,להתקין
installation,מתקן; התקנה
instance,דוגמה
instant,רגע; מיידי
instinct,"אינסטינקט, דחף טבעי"
instinctive,"אינסטינקטיבי, של דחף טבעי"
institute,"מכון, מוסד; ליזום, להנהיג"
institution,מוסד; הנהגה (של כללים וכו )
instruct,"להנחות, להדריך, להורות"
instruction,"הוראה, הדרכה"
instrument,"כלי, מכשיר; כלי נגינה"
insulate,לבודד
insulation,בידוד
insult,להעליב
insult,עלבון
insurance,ביטוח
insure,"לבטח; לוודא, להבטיח"
intact,"שלם, שלא ניזוק"
integral,"בלתי נפרד, אינטגרלי"
integrate,"לשלב, למזג, לעשות אינטגרציה"
integrity,"יושר, הגינות, מוסריות"
intellect,"אינטלקט, שכל, בינה"
intelligence,"אינטיליגנציה, תבונה, שכל; מודיעין"
intelligent,"אינטליגנטי, נבון"
intelligible,"מובן, שניתן להבינו"
intend,להתכוון
intense,"עז, מוגבר"
intensify,"לחזק, להגביר"
intensity,"עוצמה, אינטנסיביות"
intensive,"מרוכז, מוגבר, אינטנסיבי"
intent,"כוונה, מטרה"
intention,"כוונה, מטרה"
interest,"לעורר עניין; התעניינות, עניין"
interfere,"להפריע, להתערב"
interference,"הפרעה, התערבות"
interior,פנימי; פנים
intermediate,"ביניים, אמצעי"
interminable,"אינסופי, בלתי פוסק"
international,בינלאומי
interpret,לפרש; לתרגם
interpretation,"תרגום; פירוש, אינטרפרטציה"
interpreter,מתורגמן
interrogate,"לחקור, לתחקר"
interrupt,"להפריע ל-; לקטוע, להפסיק"
intersect,"להצטלב, לחתוך, לחצות"
intersection,"הצטלבות, צומת"
interval,"מרווח, הפסקה"
intervene,"להתערב, להפריע"
interview,לראיין; ראיון
intimacy,"אינטימיות, קרבה עמוקה"
intimate,"אינטימי, אישי"
intimidate,"להפחיד, לאיים"
intolerable,"בלתי נסבל, קשה מנשוא"
intoxicate,לשכר
intrigue,"לסקרן, לעורר עניין; לרקום מזימה; קנוניה, מזימה"
intrigued,"מסוקרן, מרותק, מוקסם"
intriguing,מסקרן
introduce,"לעשות היכרות, להציג בפני; להנהיג, להכניס, להביא"
introduction,"הצגה, הכנסה, התוודעות; הקדמה, מבוא"
intrude,"להתפרץ, להפריע, לפלוש"
intruder,"פורץ, מפריע"
intrusion,"התפרצות, הפרעה"
invade,לפלוש
invalid,"נכה, בעל מום"
invalid,"חסר תוקף, פסול"
invasion,פלישה
invent,להמציא
inventory,רשימת מצאי; מלאי
invest,להשקיע
investigate,לחקור
investment,השקעה
invitation,הזמנה
invite,להזמין
invoke,"לעורר, לגרום ל-"
involve,"לערב, לסבך ב-; להצריך, להיות כרוך ב-"
involvement,מעורבות; הסתבכות
iron,ברזל; לגהץ
irregular,"לא סדיר, לא קבוע, חריג"
irrespective,"בלי להתייחס ל-, ללא התחשבות ב-"
irreversible,בלתי הפיך
irrigate,להשקות
irritate,להרגיז; לגרום לגירוי
island,אי
isle,אי
isolate,לבודד
issue,"להנפיק; להוציא לאור; נושא, סוגייה"
jail,לכלוא; כלא
jealous,"קנאי, מקנא"
jealousy,קנאה
jeopardize,לסכן
jerk,לטלטל; למשוך/לדחוף פתאום
jewel,תכשיט; אבן טובה
jewelry,תכשיטים
join,להצטרף; לצרף
joint,משותף
jolly,"עליז, שמח"
journey,מסע
jovial,"עליז, שמח"
joy,שמחה; לשמוח
joyful,שמח; משמח
jubilant,"צוהל, שמח בניצחונו"
judge,לשפוט; שופט
judgment,שפיטה; שיפוט
juggle,לעשות להטוטים
junction,"צומת, הצטלבות"
junior,צעיר; זוטר
just,"צודק, הוגן; רק; כרגע; בדיוק"
justice,צדק
justification,"הצדקה, צידוק"
justify,להצדיק
juvenile,"של נוער, של צעירים"
keen,"עז, עמוק, רב; נלהב, להוט; חד, חריף"
kidnap,לחטוף
kin,קרובי משפחה
kind,"סוג, מין; טבֿב לב, אדיב"
kingdom,ממלכה
knee,ברך
kneel,לכרוע ברך
knowledge,"ידע, דעת"
label,"תווית; לתייג, לכנות, לסווג"
labor,"לעבוד, לעמול; עבודה"
labyrinth,מבוך
lack,"חוסר, מחסור, העדר; להיות חסר, להיות נטול"
lag,"להתמהמה, לפגר מאחור"
lament,"להתאבל על, לקונן"
landscape,נוף
language,שפה
larceny,גניבה
last,"להימשך; להחזיק מעמד; אחרון, סופי"
lasting,"ממושך, נצחי, בר-קיימא"
late,מאוחר; מאחר
later,מאוחר יותר
launch,לשגר; לפתוח ב-
law,חוק; משפטים
lawful,"חוקי, מותר"
lawyer,עורך-דין
layer,שיכבה
laziness,עצלות
lazy,עצלן
lead,"להוביל, להנהיג"
leader,מנהיג
leadership,מנהיגות
league,"ליגה; ברית, חבר"
lean,"להישען; להשעין; רזה, כחוש"
leap,"לקפוץ, לזנק; קפיצה, זינוק"
learned,"משכיל, מלומד"
lease,להשכיר; לשכור; שכירות
least,הכי פחות; הכי מעט
leave,לעזוב; להשאיר; חופשה
lecture,להרצות; הרצאה
ledge,מדף
legacy,מורשת
legal,חוקי
legalize,להפוך לחוקי
legend,אגדה
legendary,אגדי
legible,קריא
legislate,לחוקק
legislation,חקיקה
leisure,פנאי
lend,"להלוות, להשאיל"
length,אורך
lenient,"רחמן, מקל"
less,פחות
lessen,להפחית
lethal,קטלני
lethargic,לאה ואדיש
level,"מישור, מפלס; רמה, דרג; ישר, מישורי"
liable,"אחראי ל-, חייב; עלול ל-; צפוי ל-"
liberate,לשחרר
liberation,שחרור
liberty,חירות
license,"רישיון, היתר; לתת רשיון"
lift,להרים; מעלית
light,אור; להאיר; להדליק; קל
likely,"סביר, צפוי, מתקבל על הדעת; קרוב לוודאי, כנראה"
limit,להגביל; גבול
limitation,מגבלה
linger,להתמהמה
link,"לחבר, לקשר; חוליה מקשרת, חיבור, קשר"
liquid,נוזל; נוזלי
literacy,ידיעת קרוא וכתוב
literal,"מילולי, מילה במילה; פשוטו כמשמעו"
literate,יודע קרוא וכתוב
literature,ספרות
litter,להשליך פסולת; אשפה
livelihood,"מחיה, פרנסה"
lively,מלא חיים
livestock,משק החי
load,"להעמיס; להטעין; משא, מטען; עומס"
loan,להלוות; הלוואה
loathe,"לתעב, לסלוד מ-, לשנוא"
local,מקומי
locality,"סביבה, אזור, מקום"
locally,באופן מקומי
locate,"לאתר, למקם"
location,"מיקום, אתר"
lodge,"להתאכסן; לשכּן; ביתן, צריף"
lodging,"התאכסנות, לינה"
lofty,"נישא, גבוה מאוד; נשגב; יהיר, מתנשא"
loneliness,בדידות
lonely,בודד
long,"ארוך, ממושך; להשתוקק"
long-term,לטווח ארוך
longevity,אריכות ימים
loose,"חופשי, משוחרר; רפוי"
loosen,"לשחרר, לרופף"
lose,לאבד; להפסיד
loss,"אובדן, אבידה, הפסד"
love,אהבה; לאהוב
lovely,"נהדר, יפה, נחמד, נעים"
low,נמוך
lower,נמוך יותר; להנמיך
loyal,"נאמן, לויאלי"
loyalty,נאמנות
lucid,"צלול; ברור, בהיר, מובן"
lucrative,רווחי
ludicrous,מגוחך
lumber,עצים מנוסרים
lure,לפתות; פיתיון
luxurious,מפואר
luxury,מבֿתרבֿת
machine,מכונה
machinery,מכונות; מנגנון
magnification,הגדלה
magnify,להגדיל
magnitude,גודל; חשיבות
main,"עיקרי, ראשי"
maintain,לשמור על-; לתחזק; לטעון
maintenance,"תחזוקה, אחזקה"
majestic,מלכותי
major,"עיקרי, ראשי"
majority,רוב
male,"זכר, גבר; זכרי, גברי"
malfunction,"תפקוד לקוי, תקלה"
malice,"רשעות, זדון"
malicious,"מרושע, זדוני"
malignant,ממאיר
maltreat,"להתעלל, להתאכזר"
mammal,יונק
manage,"להסתדר; להתמודד עם-; לשלוט, לנהל"
management,הנהלה; ניהול
mandatory,מחייב
maneuver,לתמרן; תימרון
manhood,גבריות
manifest,"להראות; להתגלות, להופיע; ברור וגלוי"
manifestation,"ביטוי, גילוי"
manifesto,"מנשר, גילוי דעת, מניפסט"
manipulate,"לתמרן ולהשפיע על, לעשות מניפולציה; להפעיל במיומנות"
mankind,האנושות
manner,"אופן, צורה; התנהגות"
manners,נימוסים
mansion,בית גדול ומפואר
manual,ידני; ספר הוראות שימוש
manufacture,ייצור; לייצר
mar,"לקלקל, לפגום, להשחית"
marble,שיש
margin,"שוליים, קצה; מרווח, פער, הפרש"
marginal,שולי
marine,ימי
mark,"לסמן, לציין; סימן"
martyr,קדוש מעונה
marvel,פלא; להתפלא על
marvelous,"נפלא, נהדר"
masculine,"זכרי, גברי"
mask,"להסוות, להסתיר; מסיכה"
mass,"מסה, כמות גדולה; המון; המוני"
massive,"מסיבי, גדול מוצק וכבד"
master,"לרכוש מיומנות; לשלוט ב-; אדון, שליט; מומחה"
masterpiece,יצירת מופת
match,"להיות תואם; למצוא משהו תואם; גפרור; תחרות, משחק"
material,"חומר; חומרי, גשמי; חשוב, מהותי"
maternal,"אימהי, של אם"
matriarch,זקנה מכובדת העומדת בראש משפחה או שבט
matter,"להיות חשוב; חומר; עניין, דבר"
mature,"בוגר, בשל; להתבגר"
maturity,"בגרות, בשלות"
maze,מבוך
meadow,"אחו, אדמת מרעה"
meager,"מועט, דל, זעום"
mean,נבזי; להתכוון ל-
means,אמצעים
measure,"למדוד; מידה, כמות; אמצעי, צעד"
measurement,מדידה
meddle,להתערב בענייני הזולת
media,"אמצעי התקשורת, המדיה"
mediate,לתווך
mediation,תיווך
mediator,מתווך
medical,רפואי
medicine,תרופה; רפואה
medieval,של ימי-הביניים
mediocre,"בינוני, רגיל, ממוצע"
meek,"כנוע, ענו"
member,חבר (ב-)
memorize,"לשנן, ללמוד בע""פ"
memory,זיכרון
menace,"איום, סכנה"
mend,לתקן
mental,"מנטלי, נפשי, שכלי"
mentality,"מנטאליות, הלך מחשבה"
mention,"לציין, להזכיר"
merchandise,סחורה
merchant,סוחר
mercy,רחמים
mere,"רק, סתם"
merely,"רק, סתם"
merge,למזג; להתמזג
merit,"להיות ראוי ל-; ערך, יתרון, מעלה"
method,שיטה
meticulous,"מדקדק, קפדני"
mid,אמצע
might,"אפשרי, ייתכן, אולי; כוח, עוצמה"
mighty,"חזק מאוד, רב עוצמה"
migrate,לנדוד
migration,נדידה
mild,מתון; עדין
military,צבא; צבאי
mimic,לחקות
mine,שלי; לכרות; מכרה; מוקש
mineral,"מחצב, מינרל; מינרלי"
miniature,"מיניאטורי, זעיר"
minor,"שולי, משני; קטן; צעיר, קטין"
minority,מיעוט
minute,"דקה, רגע"
minute,"קטנטן, זעיר"
miracle,"נס, פלא"
miraculous,"פלאי, מופלא"
misbehave,להתנהג שלא כראוי
mischief,"מעשה קונדס, שובבות"
mischievous,"שובב, קונדסי"
misconception,תפיסה/דעה מוטעית
misconduct,התנהגות בלתי הולמת
miser,קמצן
miserable,"אומלל, מסכן"
misery,"סבל, אומללות"
mislead,"להוליך שולל, להטעות"
misplace,"לאבד, להניח במקום הלא נכון"
miss,"להחטיא, להחמיץ; להתגעגע"
mission,"משימה, מטלה, שליחות; משלחת"
mist,ערפל
mistake,"לשגות, לטעות; שגיאה, טעות"
mitigate,"להקל, לשכך"
mix,לערבב; להתערבב; תערובת
mixture,תערובת
moan,"לגנוח, להיאנח; גניחה, אנחה"
mob,"אספסוף, המון"
mobile,נייד
mobility,ניידות
mobilize,לגייס
mock,ללעוג
mockery,"לעג, בוז"
mode,"אופן, צורה, סגנון"
moderate,מתון
modest,"צנוע, עניו"
modesty,"צניעות, ענווה"
modification,שינוי
modify,לשנות
moist,לח
mold,לעצב; תבנית; עובש
momentary,"רגעי, לרגע"
monarch,"מלך, שליט"
monarchy,"מונרכיה, מלכות"
monetary,"כספי, מוניטרי"
monitor,"להשגיח, לפקח; מוניטור, צג"
monologue,"מונולוג, חד-שיח"
monotonous,"חדגוני, מונוטוני"
month,חודש
monthly,חודשי
